strasse;strassen_bez;herkunft;beschluss;gueltig_ab
2159;Hardtstraße;"Hardt bezeichnet einen bewaldeten Hang bzw. Anhöhe.";1899-09-15;
1430;"Am Kettelerplatz";"Wilhelm Emanuel Freiherr von Ketteler (1811 -1877), Bischof von Mainz und Gründer derKatholischen Arbeitervereine (heute  Katholischen-Arbeitnehmer-Bewegung).";1974-10-22;1978-01-01
3350;Mirecourtstraße;"Mirecourt, französische Partnerschaft von Beuel.";1968-08-28;
1372;"Im Uhlengarten";Flurname.;1901-03-22;
1158;Cécile-Vogt-Weg;"Cécile Vogt: 27.03.1875 (Annecy) - 04.05.1962 (Cambridge)
Cécile Vogt war Neurologin und bedeutende Hirnforscherin, die als Wegbereiterin für Frauen in der Wissenschaft gilt. Sie war Ehefrau und langjährige Mitarbeiterin des Neurologen Oskar Vogt. 
Von 1893 an studierte sie in Paris Medizin und schloss das Studium mit der Promotion ab. Gemeinsam mit ihrem Ehemann gilt sie als eine der Begründerinnen der modernen Hirnforschung. ";2020-11-24;2021-01-27
3293;Konrad-Zuse-Platz;"Konrad Zuse (1910-1995), Bauingenieur, ""Erfinder"" des Computers.";2003-04-03;
3060;Adolf-Quad-Straße;"Adolf Quad, Lehnsinhaber des so genannten Isengarten Hofs, der dem Stift Vilich gehörte.";1977-03-24;1978-01-01
1550;Moselweg;"Mosel, linker Nebenfluss des Rheins.";1926-12-03;
3008;"Am Bungert";"Flurname. Bungert bzw. Bongert bedeutet Baum- oder Obstgarten, Wiese mit Obstbäumen.";1964-04-15;
4327;Finkenhof;;1951-02-08;
2365;"Schmales Alleechen";;;
4041;Reichsstraße;;1949-09-16;
1270;"Am Frankenbad";"Nach dem dort 1963 eröffneten Hallenbad.";1972-12-19;
2127;"Friesdorfer Straße";"Friesdorf, Ortsteil von Bonn. Verbindung von Godesberg nach Friesdorf.";1874-08-24;
1611;Peter-Ruster-Straße;"Peter Ruster (1858-1923), Sportlehrer, Förderer des Schlagballspiels in Bonn.";1953-03-26;
3221;"Im Birkenfeld";"Ende der 1950er Jahre wurde an der neu angelegten Straße Birken angepflanzt.";1957-02-25;
1399;Johanniterstraße;"Dort steht das Johanniter-Krankenhaus.";1915-06-25;
1016;"Alte Heerstraße";"Alte Römerstraße, nach Trier führend.";1900-09-07;
3827;"Im Bungert";"Bungert bedeutet Baumgarten.";1953-10-01;
4304;"Brüser Damm";"Brüser Berg, Ortsteil von Bonn.";1973-09-11;1973-10-08
1034;"Am Lappenweiher";"Flurname. Der Weiher gehörte der kurfürstlichen Beamtenfamilie von Lapp, den Besitzern der Endenicher Burg";1951-02-09;
4330;Köslinstraße;"Köslin, Stadt in Pommern, heute Koszalin in Polen.";1977-05-03;1978-01-01
4465;Robelstraße;Flurname.;1898-07-20;
4057;Köhlstraße;"Hermann Köhl (1888-1938), Flugpionier, erster Ost-West-Atlantikflug zusammen mit von Ehrenfried Günther von Hünefeld und James C. Fitzmaurice 1928.";1979-01-18;
1782;Vivatsgasse;"Gleichbedeutend mit Viehpfadsgasse, führte zum Viehmarkt auf dem Friedensplatz.";;
4763;Erfurtstraße;"Erfurt, Stadt in Thüringen.";1979-02-15;
4754;Hallestraße;"Halle, Stadt in Sachsen-Anhalt.";1979-02-15;
2098;Dietrich-Glauner-Straße;"Dietrich Glauner (1868-1947), Heimatforscher aus Mehlem.";1998-08-27;
1356;"Hinter Hoben";"Flurname. Ein Hoben (Hube) war ein Ackerland von 60 Morgen Größe.";1976-01-13;1976-02-13
2275;Marktplatz;"Marktplatz für Godesberg bis 1921.";1875-05-11;
4743;Schallengasse;"Flurname, nach dem Hof der Schall von Bell.";1930-11-29;
1326;"An der Elisabethkirche";"Elisabethkirche, Pfarrkirche in der Bonner Südstadt.";1972-12-19;
4102;Frieda-Nadig-Straße;"Frieda Nadig (1897-1970), Politikerin und Wohlfahrtspflegerin, Mitglied des Westfälischen Provinziallandtages 1930-1933, des Parlamentarischen Rates 1948 und des Bundestages 1949-1961.";2013-10-15;2013-11-06
2142;Görresstraße;"Jakob Joseph von Görres (1776-1848), katholischer Publizist und Schriftsteller.";1947-01-31;
1776;Verdistraße;"Guiseppe Verdi (1813-1901), italienischer Komponist.";1953-02-05;
2347;Röntgenstraße;"Wilhelm Conrad von Röntgen (1845-1923), Physiker, Entdecker der nach ihm benannten Strahlen.";1951-10-22;
3043;"Am Bolzplatz";"Nach dem dort liegenden Spielplatz.";1981-06-02;
4080;Sperberweg;;1984-05-15;
2216;Kastanienweg;;1964-06-09;
1548;"Monschauer Straße";"Monschau, Stadt in der Eifel.";1938-08-13;
1084;"Am Hauptbahnhof";"Der erste Bonner Bahnhof wurde 1844 beim Bau der Bonn-Kölner Eisenbahn errichtet. Das heutige Gebäude des Hauptbahnhofs stammt von 1883/84.";;
3524;Schnorrenbergstraße;"Ignaz Schnorrenberg (1823-1900), Beigeordneter 1851-1855, Bürgermeister der Gemeinde Vilich bzw. Beuel 1855.";;
2520;Bachaue;"Der Name bezieht sich auf das frühere Versickerungsgebiet des nahe gelegenen Annaberger Baches.";2008-12-01;2008-12-17
1079;"Am Zinnbruch";"Flurname. Eine metallen schimmernde Sumpflandschaft.";1967-07-06;
4049;Rulandsweg;;1967-12-14;
3009;"Am Burgpark";"Park der Burg Lede, an der diese Straße vorbeiführt.";1963-11-06;
3179;"Am Köppekreuz";"Der Name bezieht sich auf ein Wegekreuz, das den mundartlichen Namen Köppekröx (Kreuz auf der Kuppe) trägt. Dieses denkmalgeschützte steinerne Wegekreuz hatte das Ehepaar Batholomäus und Elisabeth Fremgen im Jahre 1705 an der benachbarten Straßenkreuzung Sankt Augustiner Straße / Niederkasseler Straße errichtet. Beim Ausbau dieser Kreuzung in den 1960-er Jahren war es in den Bereich der jetzt benannten Straße versetzt worden und wird nun nochmals geringfügig verlagert.";2015-03-10;2015-05-04
3826;Humbroichweg;"Joseph Humbroich (1830-1906), Rechtsanwalt, Begründer des Vereins zur Rettung des Siebengebirges.";1955-06-03;
3830;"Im Mohrenfeld";"Flurname. Ableitung von muor (Sumpf, Morast, Moor).";;
1204;Engländerweg;"Volkstümliche Bezeichnung aus der Zeit nach dem Ersten Weltkrieg. Die englischen Truppen befestigten 1918 diesen zum Rhein führenden Fahrweg, damit sie zu der zwischen Graurheindorf und Mondorf über den Rhein errichteten Pontonbrücke gelangen konnten.";;
2524;Charlotte-von-Stein-Straße;"Charlotte von Stein (1742-1827), Hofdame der Weimarer Herzogin Anna Amalie und enge Freundin Johann Wolfgang von Goethes, Johann Gottfried von Herders und Friedrich von Schillers in Weimar.";2015-03-18;
4653;Peter-Ohlenhardt-Straße;"Peter Ohlenhardt (1904-1985), Bürgermeister von Ippendorf 1956-1969.";1988-02-09;
1340;Hochstadenring;"Konrad von Hochstaden (um 1205-1261), Erzbischof von Köln 1238-1261, ordnete 1244 die Befestigung Bonns an.";1904-07-15;
2297;Mühlenstraße;;1899-10-28;
3014;"Am Langen Graben";"Flurname. Der lange Graben kam aus dem Gelände des Karmeliterklosters und führte sein Wasser in das ehemalige so genannte Johannis-Maar an der Maarstraße.";1964-04-15;
2355;Rüdigerstraße;"Rüdiger, Gestalt aus der Nibelungensage.";1947-01-31;
2517;Hannah-Arendt-Straße;"Hannah Arendt (1906-1975), deutsch-amerikanische Gesellschafts- und Politikwissenschaftlerin . Sie emigrierte 1933 zunächst nach Frankreich, 1940 in die USA.";2007-08-15;
4811;"Bonner Logsweg";"Flurname. Log geht auf Loch oder Lache (Einkerbungen) zurück; solche Einkerbungen an Bäumen stellten Grenzmarkierungen dar. Die Bezeichnung könnte aber auch von Laach (Feuchtgebiet) kommen.";1974-03-12;1974-04-02
4345;"Schmittgasser Kirchweg";"Flurname. Gasse an der Schmiede.";;1984-12-28
3197;Hermann-Scheer-Straße;"Herrman Scheer, 1944-2010, der 1998 den alternativen Nobelpreis für Solarenergie erhalten hat, war der große Impulsgeber für die Nutzung der erneuerbaren Energien in Deutschland und auch international. Er gründete vor über 20 Jahren EUROSOLAR, die in Bonn ansässig ist und wurde 2011 postum zum Ehrenpräsident der EUROSOLAR ernannt. Er kämpfte 20 Jahre lang für die Entstehung der IRENA, ebenfalls mit jetzigem Sitz in Bonn und gründete 1998 zusammen mit großen Umwelt- und Verbraucherschutzverbänden den Grüner Strom Label e.V. Von 1980 bis zu seinem Tode war er Mitglied des Deutschen Bundestages und gestaltete durch seinen unermüdlichen Einsatz viele gute Arbeitsplätze in Bonn und Umgebung.";2016-06-01;
1119;"Magdeburger Straße";"Magdeburg, Hauptstadt des Bundeslandes Sachsen-Anhalt.";1972-12-19;
4745;Schulstraße;;1958-06-19;
1435;"Kleine Straße";;;
3471;Röhfeldstraße;"Flurname. Abgeleitet von Rodfeld (gerodetes Land).";1963-11-06;
3184;Gerhardstraße;"Über diesen früheren Feldfahrweg erreichte man auch die alte Flur Im Gerhardstal bei Pützchen.";;
4446;Klosterstraße;"1901 gründeten Franziskanerinnen in Duisdorf eine Niederlassung.";1950-12-04;
3735;Hauptstraße;;;
1330;Herpenstraße;"Herpenhof, zum Kloster Heisterbach gehörig.";1901-03-22;
2236;"Kolberger Straße";"Kolberg, Stadt in Pommern, heute Kolobrzeg in Polen.";1964-11-23;
4399;Briandstraße;"Aristide Briand (1862-1932), französischer Staatsmann, zusammen mit Gustav Stresemann Friedensnobelpreis 1926.";1969-06-16;
4647;Luigi-Pirandello-Straße;"Luigi Pirandello (1867-1936), italienischer Schriftsteller, Student an der Universität Bonn 1889-1891.";1986-10-07;
1174;Spessartstraße;;1972-12-19;
2335;Mathonetstraße;"Johann Hubert Mathonet (1793/95-1879), Bürgermeister von Bad Godesberg von 1840-1851.";1984-12-12;1984-12-28
2239;Komtureistraße;"Die Kommende Muffendorf gehörte zu einer der sieben Komtureien der Deutschordensballei Koblenz.";1960-06-13;
1507;"Berner Straße";;1996-04-23;1996-06-15
4405;Konrad-Adenauer-Damm;"Konrad Adenauer (1876-1967), Politiker, Oberbürgermeister in Köln 1917-1933, erster deutscher Bundeskanzler 1949-1963.";1969-06-16;
3083;Werner-Körvers-Straße;"Werner Körvers (1912-1971), Pfarrer von St. Peter in Vilich 1964-1971.";1978-11-23;
1018;"Am Alten Friedhof";"1715 ließ Kurfürst Joseph Clemens einen neuen, den ersten Friedhof außerhalb der Stadtmauer anlegen, um die innerstädtischen Kirchhöfe zu entlasten. Nach deren Schließung 1787 wurde er zum allgemeinen Begräbnisplatz, mehrmals vergrößert und nach Anlegung des Nordfriedhofes 1884 schließlich offiziell geschlossen.";1953-03-26;
1515;Oxfordstraße;"Oxford, Partnerstadt Bonns in England.";1971-09-14;1971-10-15
4441;Karl-Leisner-Straße;"Karl Friedrich Wilhelm Maria Leisner (1915-1945), Theologiestudent, in Opposition zur NS-Herrschaft, 1944 Priesterweihe im Konzentrationslager Dachau, von Papst Johannes Paul II. seliggesprochen.";1965-05-21;
4603;"Am Engelspfad";Flurname.;1962-08-20;
1179;Dyroffstraße;"Adolf Dyroff (1866-1943), Philosoph und Psychologe, Professor an der Universität Bonn.";1954-12-02;
1124;"Brühler Straße";"Brühl, Stadt nördlich von Bonn.";1904-07-15;
1285;Grootestraße;"Familie von Groote, frühere Besitzer der Burg Dransdorf.";1904-07-15;
3542;Haldenstraße;"Die Straße stößt an die Halden der ehemaligen Limpericher Basaltsteinbrüche.";1977-03-24;1978-08-01
4252;"Agnetendorfer Straße";"Agnetendorf, Ort in Schlesien, heute Jagniatków in Polen.";1983-04-26;
2100;"Dromersheimer Straße";"Dromersheim, Ort bei Bingen.";1956-02-23;
3169;Friedenstraße;"Es handelt sich um eine der ersten Straßen, die im Frieden nach dem Ersten Weltkrieg im Gebiet der Stadt Beuel neu ge- und bebaut wurde.";;1930-01-01
1134;"Brüsseler Straße";"Brüssel, Hauptstadt von Belgien.";1966-05-05;
4364;Fahrenheitstraße;"Daniel Gabriel Fahrenheit (1686-1736), Physiker, Begründer der Thermometrie.";1973-09-11;1973-10-08
1331;"Herseler Straße";"Die Straße führt nach Hersel, einem Ortsteil der Stadt Bornheim, nördlich von Bonn.";1962-04-12;
3093;Caroline-Herschel-Weg;"Caroline Herschel (1750-1848), Astronomin, entdeckte 1786 als erste Frau einen Kometen.";2006-01-31;
3768;Klausgarten;Flurname.;1971-09-14;1972-01-04
2223;Embavenhof;"Zeitweise auch Impogenhof genannt, dessen Bezeichnung auf einen alten Familiennamen zurückzuführen ist.";1986-11-18;
4085;Hermann-Schlösser-Straße;"Hermann Schlösser (1832-1894), Schüler der Kunstakademie Düsseldorf 1852-1861, lebte seit 1862 in Rom.";1989-04-25;
3358;Richard-Scherer-Straße;"Richard Scherer (1934-1984), Lehrer am Kardinal-Frings-Gymnasium 1967-1980, Leiter der Liebfrauenschule Bonn 1980-1984.";1989-04-25;
3005;"Alte Schulstraße";"Für Bechlinghoven, Pützchen und Vilich-Müldorf wurde 1847 eine erste, an der Siegburger Straße gelegene Schule eingerichtet. Sie bestand bis 1895.";1955-04-18;1956-03-20
4466;Flemingstraße;"Alexander Fleming (1881-1955), englischer Bakteriologe, entdeckte 1929 das Penicillin.";1972-12-19;
3632;Siegfried-Leopold-Straße;"Siegfried Leopold (1883-1961), Vorsitzender der Poppelsdorfer jüdischen Gemeinde 1926-1944 und der Bonner Synagogengemeinde 1945-1961.";1977-03-24;1978-01-01
3810;"Berghovener Straße";"Nach der schon 873 erwähnten Ansiedlung Berchove.";1896-11-30;
3352;Mühlenbachstraße;"Die Straße überquert den Mühlenbach.";1977-03-24;1978-01-01
3058;"An der Siebengebirgsbahn";"Der Bau dieser Straßenbahnstrecke ab 1911 war von größter Bedeutung für die Orte Küdinghoven, Limperich und Ramersdorf. Sie hat die wirtschaftliche Entwicklung nachhaltig geprägt.";2005-04-21;
1487;Regina-Pacis-Weg;"Rückseitiger Weg am Universitätsgebäude, über dessen Eingang zur Hofgartenseite eine Figur der Muttergottes, der ""Königin des Friedens"", steht.";1972-12-19;
4802;"Am Bach";"Flurname Hardtbach; fließt durch Lessenich.";1966-07-14;
2379;Seufertstraße;"Heinrich Seufert (1887-1960), Lehrer, Direktor der Otto-Kühne-Schule, Heimatforscher.";1977-03-24;1978-01-01
4321;Buschackerweg;;;
1541;Marie-Kahle-Allee;"Marie Kahle (1893-1948), Ehefrau des Orientalisten und Professors an der Universität Bonn Paul Kahle, Verfolgung durch nationalsozialistische Presse und Entlassung ihres Mannes, weil sie ihren jüdischen Nachbarn nach der Pogromnacht beim Aufräumen half, Flucht der gesamten Familie nach England.";2000-01-25;
3344;Marktstraße;;;
4727;"Im Pesch";Flurname.;1962-02-26;
2368;Schützengraben;Flurname.;;
4438;"Im Mühlenfeld";Flurname.;1958-03-19;
1074;"Am Dickobskreuz";"Ehemaliges Wegekreuz.";1968-06-20;
1080;"Am Schwanenmorgen";Flurname.;1974-06-11;1974-07-12
2479;Jean-Monnet-Straße;"Jean Monnet (1888-1979), französischer Politiker und Wirtschaftsberater.";1989-06-06;
1118;Brentanostraße;"Clemens Brentano (1778-1842), Dichter der Romantik.";1955-12-01;
3472;Rosenbach;"Vermutlich Flurname.";1955-04-18;
3703;Kaninsberg;"Flurname. Wohl mundartlich für Kaninchen.";;
1191;Eduard-Pflüger-Straße;"Eduard Pflüger (1829-1910), Mediziner, Professor an der Universität Bonn.";1920-11-05;1920-11-05
1647;Rheinweg;;;
1377;"Im jungen Wingert";"Flurname.  Wingert bezeichnet einen Weingarten.";2003-04-29;
3019;"Am Trajekt";"Von 1870 bis 1914 bestand eine Trajekt genannte Eisenbahnfähre zwischen den beiden Rheinufern (zwischen Gronau und Limperich).";;
3739;"Holtorfer Weg";"Holtorf, Ortsteil von Bonn.";1961-05-25;
4314;Nelkenweg;;1972-12-19;
2070;"Breslauer Straße";"Breslau, heute Wroclaw in Polen, Hauptstadt der Woiwodschaft Niederschlesien.";1954-07-22;
4707;"Im Mühlenbach";;1972-12-19;
4253;Christian-Lassen-Straße;"Christian Lassen (1800-1876), Begründer der deutschen Sanskritphilologie, Professor an der Universität Bonn.";1983-11-02;
1393;"Am Nordpark";"Nach der 1970 eingeweihten Sportanlage mit Fußballstadion und Sporthallenzentrum Sportpark Nord.";1977-03-24;1978-01-01
1006;Agrippinenstraße;"Agrippina die Jüngere (16-59), Gemahlin des römischen Kaisers Claudius, geboren im Oppidum Ubiorum, das ihr zu Ehren in Colonia Claudia Ara Agrippinensium umbenannt wurde, heute Köln.";;
3063;Professor-Neu-Allee;"Heinrich Neu (1906-1976), Historiker, Professor an der Hochschule Rheinland, Abteilung Köln. Heimat- und Geschichtsforscher.";1977-03-24;1978-01-01
1522;"Marienburger Straße";"Marienburg, Stadt in Westpreußen, heute Malbork in Polen.";1959-03-13;
1804;Wegelerstraße;"Franz Gerhard Wegeler (1765-1848), Mediziner, Professor, Freund und Biograph Beethovens.";1952-10-10;
1452;Konradstraße;"Möglicherweise nach dem Kölner Erzbischof Konrad von Hochstaden (1238-1261), unter dessen Regierung Bonn Stadtrechte erlangte.";1904-07-15;
1135;Pfarrer-Martini-Straße;"Johannes Martini (1833-1915), Pfarrer in Endenich.";1979-11-29;
2400;Ludwig-Erhard-Allee;"Ludwig Erhard (1897-1977), Bundeswirtschaftsminister 1949-1963, Bundeskanzler der Bundesrepublik Deutschland 1963-1966.";1990-08-28;
4245;"Kronstädter Straße";"Kronstadt, Stadt an den Südkarpaten, heute Brasov in Rumänien.";1981-11-24;
2022;"Am Rosenrain";Flurname.;1929-06-27;
4210;Elbingstraße;"Elbing, Stadt in Westpreußen, heute Elblag in Polen.";1964-03-19;
2111;"Eltviller Straße";"Eltville, Stadt am Rhein (Rheingau).";1956-02-23;
2327;Prinzenstraße;"Wohl zu Ehren der in Bonn studierenden Prinzen aus dem Haus Hohenzollern.";1904-08-05;
2502;Robinienweg;;2000-10-31;
2259;Lindstraße;"Flurname An dem Lindenbach.";1856-06-28;
4347;"Am Dichbach";"Flurname Auf dem Dich; nach dem gleichnamigen Wasserlauf.";2001-10-23;
2371;Clara-Wieck-Straße;"Clara Wieck (1819-1896), Pianistin und Komponistin, verheiratet mit Robert Schumann, Grab auf dem Alten Friedhof in Bonn.";1977-03-24;1978-01-01
1493;Lipschitzstraße;"Rudolf Otto Sigismund Lipschitz (1832-1903), Mathematiker, Professor an der Universität Bonn.";;
4339;"Im Burgacker";Flurname.;1981-09-29;
3287;Kirchstraße;"Die Straße führt zur Kirche in Küdinghoven.";;
1295;Gerhart-Hauptmann-Straße;"Gerhart Hauptmann (1862-1946), Schriftsteller, Literaturnobelpreis 1912.";1966-07-14;
1125;Brungsgasse;"Erwähnt 1636 als Braunsgasse, die Fortsetzung des Eselswegs erhielt ihren Namen wahrscheinlich von einem Anlieger namens Braun (mundartlich braun: brun).";;
3840;"Meerhausener Straße";"Straße zum Ortsteil Meerhausen.";1896-11-30;
2222;Frankengraben;Flurname.;1977-11-29;1977-12-16
2412;Theodor-Heuss-Straße;"Theodor Heuss (1884-1963), erster Bundespräsident der Bundesrepublik Deutschland 1949-1959.";1963-12-16;
1836;"Platz der Vereinten Nationen";"Würdigung der Ansiedlung internationaler Einrichtungen und UN-Organisationen.";2008-06-11;
3208;Himmerichweg;"Himmerich, Berg im Siebengebirge.";1963-11-06;
1658;Römerstraße;"Ehemalige via praetoria des römischen Legionslagers.";1900-09-07;
1422;Karlstraße;;1892-02-26;1892-01-15
4409;De-Gasperi-Straße;"Alcide de Gasperi (1881-1954), italienischer Politiker, Generalsekretär der Demokrazia Christiana.";1969-06-16;
3626;Werdstraße;"Nach dem Rheindorfer Werd, einer dem Rheinufer unmittelbar vorgelagerten Insel benannt.";;
2153;Gunterstraße;"Gunter, Gestalt aus der Nibelungensage.";1949-03-03;
1545;Mohrstraße;"Friedrich Mohr (1806-1870), Pharmazeut und Forscher auf dem Gebiet der Maßanalyse.";;
2407;Tannenallee;;1934-01-02;
2182;Hoverstraße;"Bei dem Namen Hover soll es sich um die Bezeichnung eines der ältesten Lannesdorfer Bauernhöfe handeln.";1935-10-23;
2173;Hofstraße;;1899-09-15;
1346;Karthäuserstraße;"Hof der Kölner Karthause.";1974-10-22;1978-01-01
4747;Nikolaus-Groß-Straße;"Nikolaus Groß (1898-1945), als Widerstandskämpfer gegen das NS-Regime hingerichtet.";1967-08-03;
3785;Heinrich-Behr-Straße;"Heinrich Behr (1895-1956), Bürgermeister der Gemeinde Holzlar 1927-1933 und 1945-1948.";1995-02-14;
1511;"Athener Straße";;1996-02-06;1996-06-15
4629;Waldmeisenweg;;1972-12-19;
4012;Dorfstraße;;;
4052;Schönfeldstraße;"Eduard Schönfeld (1828-1891), Astronom.";1978-11-30;
3721;"An der Vogelweide";Flurname.;1979-09-18;
1309;Hafenstraße;"In der Nähe des Bonner Rheinhafens.";1987-09-29;
1712;Sigambrerweg;"Sugambrer oder Sigambrer, germanischer Volksstamm.";1929-10-18;
2411;Yalovastraße;"Yalova, türkische Partnerstadt von Bad Godesberg.";1996-03-15;1996-08-15
1420;Kapuzinerstraße;"Nach dem 1623 gegründeten Kapuzinerkloster (1802 aufgehoben).";;
3824;Hosterstraße;Flurname.;1896-11-30;
2177;"Hohle Gasse";"Flurname. Höhle, Höll, Hüll, Hell, Halde oder Helde bedeutete bewachsener Abhang und Hohlweg.";1872-07-09;
3121;Dietrich-Bonhoeffer-Straße;"Dietrich Bonhoeffer (1906-1945), evangelischer Theologe, Widerstandskämpfer gegen den Nationalsozialismus, 1945 hingerichtet.";1963-11-06;
2391;Spatzenweg;;1977-03-24;1978-01-01
2110;Elsternweg;;1968-02-07;
1061;Argelanderstraße;"Friedrich Wilhelm August Argelander (1799-1875), Astronom, Professor an der Universität Bonn, Gründer der Bonner Sternwarte.";;
1138;"Bunzlauer Weg";"Bunzlau, Stadt in Niederschlesien, heute Boleslawiec in Polen.";1971-06-24;1971-08-09
3190;Grabenstraße;"Längs der Straße verlief ein Graben für Niederschlagswasser.";;
1672;Riesengebirgsstraße;"Riesengebirge, Gebirgszug an der polnisch-tschechischen Grenze.";1971-06-24;1971-08-09
1208;Erzbergerufer;"Matthias Erzberger (1875-1921), Politiker, Reichsfinanzminister, fiel einem Attentat rechtsradikaler Kreise zum Opfer.";1952-10-10;
4034;"Auf dem Kirchweg";Flurname.;1977-05-03;1978-01-01
2146;"Am Klufterhof";"Nach dem gleichnamigen, in der Nähe gelegenen, schon im Mittelalter existierenden Anwesen.";1977-03-24;1978-01-01
4094;Georg-Weiß-Weg;"Georg Weiß (1899-1966), Bürgermeister der Gemeinde Röttgen 1948-1954.";2000-01-27;
2449;Wiedemannstraße;"Alfred Wiedemann (1856-1936), Althistoriker und Ägyptologe, Professor an der Universität Bonn, Geschichtsschreiber von Godesberg.";1926-05-28;
1342;Heinrich-von-Kleist-Straße;"Heinrich von Kleist (1777-1811), Dramatiker.";1974-10-22;1978-01-01
3755;Peterweg;;;
4003;"Am Kottenforst";"Der Staatsforst Kottenforst ist ein Waldgebiet zwischen Bonn, Wachtberg, Meckenheim und Alfter.";;
2104;Elfstraße;;1915-05-14;
3220;"Im Sand";;1987-09-29;
2291;Mohrenstraße;;1899-10-28;
2460;"Zeller Straße";"Zell, Weinort an der Mosel.";1968-09-04;
4767;Heinkelstraße;"Ernst Heinrich Heinkel (1888-1958), Flugzeugbauer.";1982-07-06;
2477;"Am Südfriedhof";;1977-03-24;1978-01-01
1027;"Am Gerhardsplatz";"Hermann Joseph Maria Gerhards (1797-1861), Beigeordneter, u.a. Leiter der Armenverwaltung der Stadt Bonn.";1928-02-03;
4471;Billrothstraße;"Theodor Billroth (1829-1894), Mediziner, Chirurg, Professor in Wien.";1972-12-19;
2476;Roderichstraße;"Roderich, Sagengestalt.";1976-06-01;1976-07-02
2509;"Auf dem Domhof";"Der Name weist hin auf den dort befindlichen, einst dem Kölner Domkapitel gehörenden Hof.";2004-03-18;
2422;"Venner Straße";"Venne bezeichnet einen Sumpf bzw. ein Moor.";;
3627;Kapitelshof;"Der Hof gehörte dem Stiftskapitel von Vilich.";1977-03-24;1978-01-01
1653;Robert-Kirchhoff-Straße;"Gustav Robert Kirchhoff (1824-1887),  Physiker, Professor an den Universitäten in Breslau, Heidelberg und Berlin.";1961-04-20;
2020;"Am Lenkert";"Flurname, nach dem Bächlein Lenkert, das von Schweinheim kommend in der Godesberger Bach mündet.";1906-12-14;
4612;Blaukehlchenweg;;1972-12-19;
1724;Stockenstraße;"Nach dem Dörfchen Stockem oder Stockheim, das an dieser Stelle der Straße lag.";;
3218;Helene-Weigel-Weg;"Helene Weigel (1900-1971), Schauspielerin und Theaterleiterin, 1928 Hochzeit mit Bertolt Brecht.";2006-01-25;
1480;Langwartweg;"Flurname An der Langwart. Bezeichnung für einen an der langgestreckten Weide sich hinziehenden Weg.";;
1300;"Gleiwitzer Weg";"Gleiwitz, Stadt in Schlesien, heute Gliwice in Polen.";1978-06-06;1978-07-29
4261;Ernst-Meurer-Weg;"Ernst Meurer (1883-1956), in Bonn gestorbener Kunstmaler.";1985-01-29;1985-02-08
1484;Lennéstraße;"Peter Joseph Lenné (1789-1866), Gartenarchitekt, geboren in Bonn.";1867-08-26;
4458;Pascalstraße;"Blaise Pascal (1623-1662), Mathematiker und Physiker.";1973-09-11;1973-10-08
1205;Erftweg;"Erft, linker Nebenfluss des Rheins.";1954-04-22;
3855;Cäcilienstraße;"Die hl. Cäcilia (um 200- um 230), Pfarrpatronin von Oberkassel.";1977-03-24;1978-01-01
2189;"Im Frankenkeller";Flurname.;1927-05-25;
1848;Robert-Brach-Gasse;"Robert Brach (1922-1990),  stellvertretender Ortsausschussvorsitzender von Kessenich und Präsident des gemischten Chores Cäcilia.";1992-02-11;
3002;Adelheidisstraße;"Adelheidis von Vilich (970 -1015), Heilige, Äbtissin des Benediktinerinnenklosters (Beuel-) Vilich, später auch des Stifts St. Maria im Kapitol in Köln, seit 2008 dritte Stadtpatronin von Bonn. Der Legende nach soll sie während der großen Dürre um 1000 mit ihrem Äbtissinnenstab die Adelheidisquelle in Pützchen hervorgerufen haben. 1726 ist das Adelheidis-Brünnchen erwähnt.";;
4019;Forststraße;;;
4009;Birkenweg;;;
2413;"Thüringer Straße";"Thüringen, Bundesland seit 1990.";;
1770;Venusberg-Campus;"Der Straßenname bezieht sich auf das Universitätsklinikum auf dem Venusberg.";2018-12-04;2019-02-06
2211;Kanalstraße;;1904-06-07;
2501;"Schweinheimer Weg";"Schweinheim, Ortsteil von Bonn.";2000-01-27;
3177;"Am Bonner Bogen";"Hinweis auf den dortigen Rheinbogen.";2008-04-10;2008-05-14
1538;Meisenweg;;;
3820;Hartwig-Hüser-Straße;"Hartwig Hüser (1834-1899), Begründer der Firma Hüser & Co., der Oberkasseler Betonfabrik neben der Zementfabrik.";1904-09-12;
1643;Reuterstraße;"Reuter (Reiter). Die Straße wurde u.a. von den Kurfürsten als Jagd-, Reit- oder Kurierweg benutzt.";1904-07-15;
1532;"Auerberger Mitte";"Auerberg, Bonner Ortsteil.";1999-06-08;
4249;Heinrich-Settels-Straße;"Heinrich Settels, Landwirt und Gemeindevorsteher 1866-1874.";1983-02-22;
4306;Grasmückenweg;;1972-12-19;
2085;Kirchweingarten;Flurname.;1993-06-01;
1230;Flodelingsweg;"Flodeling bezeichnet eine Flutlinie, bezogen auf den Endenicher Bach.";;
3546;Streffenweg;"Flurname 1726 Am Streffenweg. Streffen bedeutet langer Geländestreifen, dieser ging von Ramersdorf nach Küdinghoven und deckte sich in etwa mit dem heutigen Gerichtsweg. Der derzeitige Streffenweg hält nur die Erinnerung an die alte Streffe wach.";;
4259;Leo-Breuer-Weg;"Leo Breuer (1893-1975), Bonner Kunstmaler.";1985-01-29;1985-02-08
